name,pop,location
Jalalpur Pirwala,37393,"https://www.google.com/maps/?q=29.5051,71.222"
Pabbi,37307,"https://www.google.com/maps/?q=34.0097,71.7944"
Chak Jhumra,37214,"https://www.google.com/maps/?q=31.5681,73.1832"
Sahiwal,37186,"https://www.google.com/maps/?q=31.9739,72.3311"
Renala Khurd,37111,"https://www.google.com/maps/?q=30.8788,73.5986"
Risalpur Cantonment,37084,"https://www.google.com/maps/?q=34.0605,71.9928"
Lakki,36391,"https://www.google.com/maps/?q=32.6072,70.9123"
Topi,36340,"https://www.google.com/maps/?q=34.0703,72.6215"
Hangu,36150,"https://www.google.com/maps/?q=33.532,71.0595"
Pir Jo Goth,35537,"https://www.google.com/maps/?q=27.5918,68.6185"
Kundian,35406,"https://www.google.com/maps/?q=32.4577,71.4789"
Pir Mahal,35343,"https://www.google.com/maps/?q=30.7666,72.4345"
Khurrianwala,35292,"https://www.google.com/maps/?q=31.4994,73.2676"
Mehrabpur,35263,"https://www.google.com/maps/?q=28.1077,68.0255"
Pindi Bhattian,35088,"https://www.google.com/maps/?q=31.8984,73.2734"
Malakwal City,35000,"https://www.google.com/maps/?q=32.5549,73.2122"
Narang Mandi,34778,"https://www.google.com/maps/?q=31.9038,74.5159"
Malakwal,34589,"https://www.google.com/maps/?q=32.5545,73.2127"
Thul,34472,"https://www.google.com/maps/?q=28.2403,68.7755"
Pindi Gheb,34301,"https://www.google.com/maps/?q=33.241,72.2648"
Zahir Pir,34121,"https://www.google.com/maps/?q=28.8128,70.5234"
Dunyapur,34044,"https://www.google.com/maps/?q=29.8027,71.7434"
Gambat,34005,"https://www.google.com/maps/?q=27.3517,68.5215"
Kashmor,33732,"https://www.google.com/maps/?q=28.4326,69.5836"
Alipur,33601,"https://www.google.com/maps/?q=29.3824,70.9111"
Naudero,33455,"https://www.google.com/maps/?q=27.6668,68.3609"
Pasni,33110,"https://www.google.com/maps/?q=25.263,63.4692"
Sukheke Mandi,32836,"https://www.google.com/maps/?q=31.8654,73.5088"
Setharja Old,32651,"https://www.google.com/maps/?q=27.2127,68.4688"
Khewra,32620,"https://www.google.com/maps/?q=32.6491,73.0106"
Mamu Kanjan,31914,"https://www.google.com/maps/?q=30.8304,72.7994"
Sharqpur Sharif,31855,"https://www.google.com/maps/?q=31.4612,74.1009"
Digri,31842,"https://www.google.com/maps/?q=25.1566,69.111"
Bhera,31781,"https://www.google.com/maps/?q=32.4821,72.9087"
Sakrand,31630,"https://www.google.com/maps/?q=26.1385,68.2744"
Tando Jam,31612,"https://www.google.com/maps/?q=25.4281,68.5292"
Raiwind,31592,"https://www.google.com/maps/?q=31.2489,74.2153"
Lalian,31355,"https://www.google.com/maps/?q=31.8246,72.8012"
Khairpur Tamewah,30967,"https://www.google.com/maps/?q=29.5814,72.238"
Kharan,30841,"https://www.google.com/maps/?q=28.5846,65.415"
Mehar,30429,"https://www.google.com/maps/?q=27.1803,67.8205"
Khangah Dogran,30314,"https://www.google.com/maps/?q=31.8329,73.6221"
Khairpur Nathan Shah,30286,"https://www.google.com/maps/?q=27.0906,67.7349"
Upper Dir,29869,"https://www.google.com/maps/?q=35.2074,71.8768"
Ghauspur,29767,"https://www.google.com/maps/?q=28.1388,69.0825"
Tangi,29444,"https://www.google.com/maps/?q=34.3009,71.6524"
Utmanzai,29423,"https://www.google.com/maps/?q=34.1878,71.7627"
Thal,29331,"https://www.google.com/maps/?q=35.4784,72.2438"
Minchianabad,29253,"https://www.google.com/maps/?q=30.1636,73.5686"
Garh Maharaja,29153,"https://www.google.com/maps/?q=30.8338,71.9049"
Jahanian Shah,29095,"https://www.google.com/maps/?q=31.8054,72.2774"
